area_type,availability,location,size,society,total_sqft,bath,balcony,price,adjusted_price
Super built-up  Area,Ready To Move,Kurla,3 BHK,Soitya ,1697,3.0,2.0,20987.65432,20987.65432
Built-up  Area,Ready To Move,Colaba,2 Bedroom,,1000,2.0,0.0,11666.66667,15166.666671
Super built-up  Area,Ready To Move,Juhu,3 BHK,,1567,3.0,3.0,21492.53731,27940.298503
Plot  Area,19-Jan,Mulund,2 Bedroom,,1200,1.0,1.0,7777.777778,7777.777778
Plot  Area,Ready To Move,Dadar,4 Bedroom,Co IIla,3750,6.0,3.0,14285.71429,17142.857148
Super built-up  Area,Ready To Move,Juhu,2 BHK,,950,2.0,2.0,27324.74964,35522.174532000005
Super built-up  Area,Ready To Move,Andheri,2 BHK,Vidil D,1022,2.0,2.0,24273.85892,29128.630704
Super built-up  Area,Ready To Move,Bandra,2 BHK,PaigeMa,1018,2.0,0.0,16741.07143,16741.07143
Plot  Area,Ready To Move,Bandra,4 Bedroom,,2000,3.0,2.0,33623.91034,33623.91034
Super built-up  Area,Ready To Move,Juhu,2 BHK,FoapeWa,1322,2.0,2.0,23456.79012,30493.827156000003
Plot  Area,Ready To Move,Mulund,4 Bedroom,AreraRe,1800,4.0,2.0,19444.44444,19444.44444
Super built-up  Area,Ready To Move,Malad,3 BHK,,1460,2.0,2.0,17222.22222,17222.22222
Super built-up  Area,18-May,Vile Parle,2 BHK,,990,2.0,1.0,22222.22222,22222.22222
Built-up  Area,Ready To Move,Dadar,3 BHK,Sancybr,2400,3.0,1.0,18686.86869,22424.242427999998
Super built-up  Area,Ready To Move,Borivali,3 BHK,Lallere,1635,2.0,2.0,25689.40493,25689.40493
Super built-up  Area,Ready To Move,Santacruz,4 BHK,PhestOn,3526,4.0,1.0,7647.058824,7647.058824
Built-up  Area,Ready To Move,Lower Parel,4 Bedroom,,3400,3.0,1.0,8408.408408,8408.408408
Built-up  Area,Ready To Move,Dadar,3 BHK,PeBayle,2770,3.0,1.0,18111.11111,21733.333332000002
Super built-up  Area,Ready To Move,Goregaon,4 BHK,BrontLa,2710 - 3360,5.0,0.0,82500.0,82500.0
Super built-up  Area,Ready To Move,Khar,3 BHK,ArnzaFi,1533,3.0,2.0,25405.40541,25405.40541
Super built-up  Area,Ready To Move,Khar,3 BHK,Hiows C,1720,3.0,1.0,26250.0,26250.0
Super built-up  Area,Ready To Move,Dadar,3 BHK,,2000,3.0,1.0,30277.77778,36333.333335999996
Super built-up  Area,18-Aug,Kurla,2 BHK,Aroomba,1185,2.0,2.0,16190.47619,16190.47619
Super built-up  Area,19-Dec,Andheri,2 BHK,,900,2.0,1.0,24236.11111,29083.333332000002
Built-up  Area,Ready To Move,Ghatkopar,1 BHK,Jae 1hu,395,1.0,1.0,30000.0,30000.0
Super built-up  Area,Ready To Move,Khar,2 BHK,Brods W,1031,2.0,1.0,17391.30435,17391.30435
Plot  Area,Ready To Move,Andheri,6 Bedroom,,2400,8.0,2.0,42621.98707,51146.384484
Super built-up  Area,Ready To Move,Chembur,4 BHK,G conTh,2650,4.0,2.0,17288.13559,17288.13559
Plot  Area,Ready To Move,Juhu,5 Bedroom,,2400,5.0,1.0,25585.42931,33261.058103
Super built-up  Area,Ready To Move,Vile Parle,3 BHK,SLnssPr,1330,2.0,2.0,22424.24242,22424.24242
Super built-up  Area,Ready To Move,Powai,2 BHK,Exitym ,1259,2.0,2.0,22946.8599,22946.8599
Built-up  Area,Ready To Move,Worli,3 BHK,GRvanun,1570,3.0,2.0,10880.82902,10880.82902
Built-up  Area,Ready To Move,Mulund,3 BHK,Prityel,1075,2.0,1.0,27500.0,27500.0
Super built-up  Area,18-May,Vile Parle,2 BHK,Prtates,1216,2.0,1.0,22088.35341,22088.35341
Super built-up  Area,Ready To Move,Goregaon,3 BHK,Srisei ,1428,2.0,2.0,36000.0,36000.0
Super built-up  Area,Ready To Move,Dadar,2 BHK,,1160,2.0,2.0,15306.12245,18367.34694
Plot  Area,18-Feb,Vile Parle,3 Bedroom,,600,2.0,1.0,38888.88889,38888.88889
Super built-up  Area,Ready To Move,Chembur,3 BHK,SastyDy,1475,3.0,2.0,20036.42987,20036.42987
Super built-up  Area,Ready To Move,Dadar,3 BHK,,1754,3.0,2.0,11560.69364,13872.832368
Super built-up  Area,18-Feb,Borivali,3 BHK,,1639,3.0,1.0,9637.188209,9637.188209
Super built-up  Area,19-Mar,Worli,3 BHK,Puachal,1804,3.0,2.0,12105.26316,12105.26316
Plot  Area,18-Aug,Dadar,3 Bedroom,,1200,3.0,2.0,40476.19048,48571.428576
Built-up  Area,Ready To Move,Ghatkopar,2 BHK,,1135,2.0,3.0,8981.481481,8981.481481
Super built-up  Area,Ready To Move,Goregaon,2 BHK,Dhalsh ,1260,2.0,2.0,21739.13043,21739.13043
Plot  Area,Ready To Move,Vile Parle,5 Bedroom,,1440,5.0,1.0,50943.39623,50943.39623
Built-up  Area,Ready To Move,Malad,3 BHK,Asadacy,2160,3.0,2.0,26717.55725,26717.55725
Plot  Area,Ready To Move,Andheri,7 Bedroom,,700,6.0,,15851.39319,19021.671828
Super built-up  Area,Ready To Move,Mulund,2 BHK,,1220,2.0,2.0,17500.0,17500.0
Plot  Area,Ready To Move,Vile Parle,2 Bedroom,,1200,2.0,0.0,28571.42857,28571.42857
Super built-up  Area,Ready To Move,Mulund,2 BHK,Chara N,1300,2.0,3.0,32727.27273,32727.27273
Super built-up  Area,Ready To Move,Mulund,1 BHK,EGdiaAr,605,1.0,1.0,23389.83051,23389.83051
Plot  Area,Ready To Move,Bandra,6 Bedroom,,1230,4.0,1.0,27500.0,27500.0
Super built-up  Area,18-Apr,Juhu,2 BHK,Rosha I,1444,2.0,1.0,29729.72973,38648.648649
Built-up  Area,Ready To Move,Goregaon,2 BHK,,924,2.0,1.0,32330.82707,32330.82707
Super built-up  Area,18-Nov,Goregaon,2 BHK,,1000,2.0,1.0,17000.0,17000.0
Plot  Area,Ready To Move,Dadar,4 Bedroom,,600,4.0,0.0,21875.0,26250.0
Plot  Area,Ready To Move,Khar,3 Bedroom,,1200,3.0,3.0,17964.07186,17964.07186
Super built-up  Area,Ready To Move,Mulund,2 BHK,Prityel,845,2.0,1.0,28205.12821,28205.12821
Super built-up  Area,21-Dec,Khar,2 BHK,PrarePa,700,2.0,1.0,18490.56604,18490.56604
Super built-up  Area,Ready To Move,Goregaon,2 BHK,,1187,2.0,2.0,11700.0,11700.0
Super built-up  Area,Ready To Move,Malad,3 BHK,Saconp ,1625,3.0,2.0,50000.0,50000.0
Plot  Area,Ready To Move,Dadar,2 Bedroom,,1200,2.0,2.0,17175.57252,20610.687024000003
Super built-up  Area,Ready To Move,Andheri,2 BHK,ElaleSp,1452.55,2.0,3.0,23333.33333,27999.999996000002
Built-up  Area,Ready To Move,Mulund,3 BHK,,2357,3.0,2.0,13181.81818,13181.81818
Super built-up  Area,Ready To Move,Mulund,2 BHK,,1200,2.0,1.0,19230.76923,19230.76923
Super built-up  Area,Ready To Move,Goregaon,2 BHK,PrityTr,1139,2.0,2.0,24666.66667,24666.66667
Built-up  Area,Ready To Move,Ghatkopar,1 Bedroom,,600,1.0,0.0,17081.54506,17081.54506
Super built-up  Area,Ready To Move,Khar,3 BHK,PuandHi,1660,3.0,3.0,26526.31579,26526.31579
Super built-up  Area,Ready To Move,Bandra,2 BHK,Rakulai,1170,2.0,3.0,25925.92593,25925.92593
Super built-up  Area,Ready To Move,Borivali,2 BHK,Srhts P,1448,2.0,2.0,16000.0,16000.0
Super built-up  Area,18-May,Malad,3 BHK,Alestrb,1762,3.0,3.0,15000.0,15000.0
Super built-up  Area,Ready To Move,Kurla,2 BHK,SLireap,1105,2.0,1.0,32500.0,32500.0
Super built-up  Area,18-Mar,Mulund,3 BHK,Miitat ,1825,3.0,1.0,14000.0,14000.0
Super built-up  Area,19-Dec,Malad,1 RK,Rosha I,296,1.0,0.0,8904.109589,8904.109589
Plot  Area,Ready To Move,Borivali,5 Bedroom,,1200,4.0,1.0,20000.0,20000.0
Super built-up  Area,Ready To Move,Colaba,2 BHK,MenueNo,1185,2.0,2.0,21126.76056,27464.788728
Built-up  Area,18-Aug,Malad,3 BHK,Sryalan,1320,2.0,1.0,6176.470588,6176.470588
Super built-up  Area,Ready To Move,Andheri,2 BHK,Suelsa ,1058,2.0,1.0,4957.264957,5948.7179484
Super built-up  Area,Ready To Move,Santacruz,2 BHK,,1220,2.0,2.0,26666.66667,26666.66667
Super built-up  Area,18-Aug,Borivali,2 BHK,,925,2.0,1.0,7804.878049,7804.878049
Super built-up  Area,18-May,Andheri,2 BHK,Brglede,1200,2.0,1.0,23123.12312,27747.747744
Super built-up  Area,Ready To Move,Khar,3 BHK,,1160,2.0,2.0,30625.0,30625.0
Plot  Area,Ready To Move,Juhu,3 Bedroom,,600,4.0,3.0,5524.07932,7181.303116
Super built-up  Area,18-Jul,Worli,3 BHK,,1411,3.0,2.0,17000.0,17000.0
Super built-up  Area,Ready To Move,Colaba,3 BHK,SNity S,1550,3.0,2.0,15909.09091,20681.818183000003
Super built-up  Area,Ready To Move,Andheri,4 BHK,,3250,4.0,3.0,28571.42857,34285.714284
Super built-up  Area,Ready To Move,Malad,3 BHK,NDionas,2475,4.0,,8658.008658,8658.008658
Super built-up  Area,22-May,Vile Parle,4 BHK,SoineC ,2249.81 - 4112.19,,,7750.0,7750.0
Super built-up  Area,19-Dec,Lower Parel,4 BHK,Puarero,2503,4.0,0.0,18900.0,18900.0
Super built-up  Area,Ready To Move,Powai,4 BHK,Prionad,2524,5.0,2.0,49627.79156,49627.79156
Super built-up  Area,Ready To Move,Bandra,2 BHK,,1063,2.0,2.0,15625.0,15625.0
Super built-up  Area,Ready To Move,Chembur,2 BHK,,1077,2.0,1.0,21666.66667,21666.66667
Super built-up  Area,Ready To Move,Lower Parel,2 BHK,,1200,3.0,2.0,13750.0,13750.0
Built-up  Area,Ready To Move,Ghatkopar,4 BHK,,1500,3.0,2.0,23384.61538,23384.61538
Super built-up  Area,Ready To Move,Mulund,2 BHK,Vaniai ,1045,2.0,2.0,23125.0,23125.0
Super built-up  Area,Ready To Move,Mulund,3 BHK,SPavenc,1290,2.0,3.0,44166.66667,44166.66667
Super built-up  Area,Ready To Move,Dadar,2 BHK,SMaxyay,1400,2.0,1.0,30648.14815,36777.77778
Built-up  Area,Ready To Move,Andheri,3 BHK,,1600,3.0,2.0,29761.90476,35714.285712
Super built-up  Area,Ready To Move,Powai,3 BHK,,3095,3.0,3.0,38250.0,38250.0
Super built-up  Area,Ready To Move,Ghatkopar,3 BHK,,1545,2.0,1.0,21714.28571,21714.28571
Super built-up  Area,Ready To Move,Lower Parel,3 BHK,Mades G,1680,3.0,1.0,55072.46377,55072.46377
Built-up  Area,Ready To Move,Andheri,2 BHK,,1350,2.0,1.0,24782.6087,29739.13044
Super built-up  Area,Ready To Move,Goregaon,2 BHK,,950,2.0,1.0,7000.0,7000.0
Super built-up  Area,Ready To Move,Andheri,2 BHK,,1050,2.0,2.0,19000.0,22800.0
Super built-up  Area,Ready To Move,Santacruz,3 BHK,,1305,2.0,2.0,22608.69565,22608.69565
Plot  Area,Ready To Move,Lower Parel,4 Bedroom,,800,4.0,2.0,53937.43258,53937.43258
Built-up  Area,18-Feb,Dadar,5 BHK,,2700,7.0,2.0,22222.22222,26666.666664
Plot  Area,Ready To Move,Kurla,3 Bedroom,,1100,3.0,1.0,43000.0,43000.0
Built-up  Area,Ready To Move,Malad,6 Bedroom,,3500,5.0,0.0,14461.53846,14461.53846
Super built-up  Area,19-Oct,Goregaon,3 BHK,Pruthg ,1634,3.0,1.0,7216.494845,7216.494845
Super built-up  Area,Ready To Move,Ghatkopar,2 BHK,Prlmsge,1352,2.0,2.0,10000.0,10000.0
Super built-up  Area,17-Sep,Andheri,2 BHK,HiqueMa,1145,2.0,2.0,21028.03738,25233.644856000003
Super built-up  Area,18-May,Andheri,2 BHK,,1240,2.0,,12121.21212,14545.454544
Super built-up  Area,Ready To Move,Ghatkopar,3 BHK,BriumMi,2200,3.0,2.0,18666.66667,18666.66667
Super built-up  Area,18-Mar,Colaba,2 BHK,,1020,2.0,1.0,22727.27273,29545.454549000002
Super built-up  Area,Ready To Move,Dadar,4 BHK,,3600,4.0,,25000.0,30000.0
Super built-up  Area,18-Aug,Santacruz,2 BHK,Prllsan,1168,2.0,1.0,25000.0,25000.0
Super built-up  Area,18-Jul,Andheri,2 BHK,SNbay G,1205,2.0,1.0,35000.0,42000.0
Super built-up  Area,Ready To Move,Worli,2 BHK,Vatra N,1195,2.0,2.0,13571.42857,13571.42857
Built-up  Area,Ready To Move,Powai,2 BHK,,1028,2.0,1.0,43478.26087,43478.26087
Super built-up  Area,Ready To Move,Chembur,2 BHK,,1175,2.0,2.0,26269.70228,26269.70228
Super built-up  Area,Ready To Move,Juhu,3 BHK,Saent A,1550,2.0,2.0,39393.93939,51212.121207000004
Super built-up  Area,Ready To Move,Vile Parle,3 BHK,,1826,3.0,2.0,10215.05376,10215.05376
Plot  Area,Ready To Move,Kurla,5 Bedroom,,2400,5.0,2.0,4324.324324,4324.324324
Super built-up  Area,Ready To Move,Bandra,3 BHK,Niareum,1603,3.0,2.0,19531.25,19531.25
Built-up  Area,Ready To Move,Santacruz,3 BHK,,1350,3.0,1.0,22000.0,22000.0
Built-up  Area,Ready To Move,Powai,1 BHK,,714,1.0,1.0,81081.08108,81081.08108
Super built-up  Area,18-Nov,Mulund,2 BHK,,1215,2.0,3.0,40229.88506,40229.88506
Built-up  Area,Ready To Move,Mulund,3 BHK,MancyRe,1405,2.0,2.0,14259.25926,14259.25926
Super built-up  Area,Ready To Move,Santacruz,2 BHK,MCvarar,1142,2.0,1.0,12328.76712,12328.76712
Built-up  Area,Ready To Move,Lower Parel,4 Bedroom,,4000,4.0,3.0,7105.263158,7105.263158
Super built-up  Area,Ready To Move,Andheri,3 BHK,Brony H,1870,3.0,2.0,14598.54015,17518.24818
Super built-up  Area,Ready To Move,Colaba,2 BHK,Chllsev,1313,2.0,2.0,20000.0,26000.0
Built-up  Area,Ready To Move,Ghatkopar,3 BHK,PlhtsHe,1945,3.0,3.0,18275.86207,18275.86207
Super built-up  Area,17-Jul,Powai,3 BHK,Bhmesy ,1573,3.0,2.0,26428.57143,26428.57143
Super built-up  Area,Ready To Move,Chembur,2 BHK,Mades G,1255,2.0,1.0,15933.33333,15933.33333
Super built-up  Area,Ready To Move,Malad,4 BHK,,1400,3.0,2.0,4933.333333,4933.333333
Super built-up  Area,18-May,Juhu,2 BHK,,1235,2.0,2.0,18666.66667,24266.666671
Super built-up  Area,Ready To Move,Bandra,3 BHK,Shthi S,1380,2.0,1.0,9818.181818,9818.181818
Plot  Area,Ready To Move,Ghatkopar,7 Bedroom,,1500,9.0,2.0,7000.0,7000.0
Super built-up  Area,Ready To Move,Andheri,2 BHK,,1238,2.0,1.0,56410.25641,67692.307692
Super built-up  Area,18-Oct,Borivali,3 BHK,,1465,2.0,3.0,17500.0,17500.0
Super built-up  Area,Ready To Move,Worli,2 BHK,,1418,2.0,2.0,74074.07407,74074.07407
Super built-up  Area,Ready To Move,Khar,3 BHK,,1650,3.0,1.0,5681.818182,5681.818182
Built-up  Area,Ready To Move,Khar,1 RK,,351,1.0,1.0,23885.35032,23885.35032
Super built-up  Area,Ready To Move,Khar,2 BHK,Sagnage,1279,2.0,2.0,22352.94118,22352.94118
Built-up  Area,Ready To Move,Khar,3 Bedroom,,1870,3.0,1.0,10915.49296,10915.49296
Plot  Area,Ready To Move,Lower Parel,4 Bedroom,,1500,5.0,1.0,36363.63636,36363.63636
Super built-up  Area,19-Oct,Mulund,3 BHK,SNontle,2526,2.0,2.0,30000.0,30000.0
Plot  Area,Ready To Move,Juhu,3 Bedroom,,1550,2.0,1.0,59090.90909,76818.181817
Super built-up  Area,Ready To Move,Chembur,4 BHK,PhestOn,3436 - 3643,,,14400.0,14400.0
Super built-up  Area,18-Aug,Worli,3 BHK,DSera S,1845,2.0,1.0,20000.0,20000.0
Super built-up  Area,Ready To Move,Bandra,3 BHK,Puodse ,1360,2.0,1.0,3574.879227,3574.879227
Built-up  Area,Ready To Move,Khar,3 BHK,,1150,2.0,1.0,24626.86567,24626.86567
Super built-up  Area,Ready To Move,Malad,2 BHK,Sancya ,1260,2.0,2.0,40000.0,40000.0
Plot  Area,Ready To Move,Worli,3 Bedroom,,1200,3.0,1.0,9142.857143,9142.857143
Built-up  Area,Ready To Move,Lower Parel,2 BHK,Tavenew,965,2.0,1.0,17276.42276,17276.42276
Built-up  Area,Ready To Move,Powai,3 BHK,Adion M,1350,2.0,3.0,16315.78947,16315.78947
Super built-up  Area,18-Jul,Bandra,2 BHK,Rosha I,1447,2.0,1.0,75783.47578,75783.47578
Super built-up  Area,Ready To Move,Kurla,3 BHK,,1229,3.0,1.0,21176.47059,21176.47059
Super built-up  Area,Ready To Move,Andheri,2 BHK,,1027,2.0,2.0,21945.94595,26335.135140000002
Super built-up  Area,Ready To Move,Goregaon,2 BHK,M denGa,1153,2.0,1.0,50000.0,50000.0
Super built-up  Area,18-Dec,Dadar,4 BHK,Prtates,2830 - 2882,5.0,0.0,17014.92537,20417.910444
Super built-up  Area,Ready To Move,Juhu,2 BHK,A idse ,1065,2.0,2.0,9468.085106,12308.510637800002
Built-up  Area,Ready To Move,Chembur,2 BHK,Skarkev,1030,2.0,3.0,37301.5873,37301.5873
Super built-up  Area,Ready To Move,Lower Parel,2 BHK,,1340,2.0,2.0,41382.66796,41382.66796
Super built-up  Area,Ready To Move,Goregaon,4 BHK,PueraRi,4000,5.0,,62500.0,62500.0
Built-up  Area,Ready To Move,Lower Parel,1 Bedroom,,600,1.0,0.0,11529.41176,11529.41176
Super built-up  Area,Ready To Move,Lower Parel,3 BHK,Dhalsh ,1410,2.0,3.0,6080.347448,6080.347448
Super built-up  Area,20-Dec,Juhu,2 BHK,Myple M,1055,2.0,2.0,9595.959596,12474.7474748
Super built-up  Area,18-May,Dadar,2 BHK,Prensya,1304,2.0,1.0,19285.71429,23142.857148
Super built-up  Area,18-Feb,Mulund,4 BHK,,2720,4.0,1.0,17272.72727,17272.72727
Built-up  Area,Ready To Move,Mulund,2 BHK,Puitea ,990,2.0,1.0,17222.22222,17222.22222
Super built-up  Area,Ready To Move,Dadar,2 BHK,,1035,2.0,1.0,15882.35294,19058.823528
Super built-up  Area,21-Jun,Lower Parel,1 BHK,Coowsri,596 - 804,1.0,0.0,23809.52381,23809.52381
Super built-up  Area,Ready To Move,Borivali,2 BHK,,1120,2.0,2.0,22000.0,22000.0
Super built-up  Area,Ready To Move,Worli,2 BHK,NDionas,1300,2.0,2.0,18115.94203,18115.94203
Super built-up  Area,21-Jan,Kurla,2 BHK,Sapus S,1239,2.0,1.0,60666.66667,60666.66667
Super built-up  Area,19-Dec,Borivali,3 BHK,Daivon ,1403,3.0,3.0,4666.666667,4666.666667
Super built-up  Area,Ready To Move,Lower Parel,2 BHK,Sosisic,1365,2.0,1.0,15654.64896,15654.64896
Super built-up  Area,Ready To Move,Khar,2 BHK,Sid 2ss,1165,2.0,1.0,26400.0,26400.0
Super built-up  Area,Ready To Move,Worli,3 BHK,,1130,2.0,3.0,13043.47826,13043.47826
Super built-up  Area,Ready To Move,Goregaon,3 BHK,Solia D,1776.42,3.0,2.0,25333.33333,25333.33333
Plot  Area,Ready To Move,Ghatkopar,4 Bedroom,,900,4.0,3.0,7500.0,7500.0
Super built-up  Area,Ready To Move,Andheri,2 BHK,,1194,2.0,2.0,41250.0,49500.0
Super built-up  Area,Ready To Move,Dadar,2 BHK,Etuney ,1107,2.0,2.0,24444.44444,29333.333327999997
Super built-up  Area,Ready To Move,Mulund,3 BHK,,2319,3.0,2.0,21100.91743,21100.91743
Super built-up  Area,Ready To Move,Kurla,3 BHK,DNtonri,1520,3.0,3.0,26785.71429,26785.71429
Super built-up  Area,19-Jul,Colaba,3 BHK,Sonue A,1536,3.0,1.0,43333.33333,56333.333329
Built-up  Area,Ready To Move,Andheri,4 BHK,,3000,4.0,2.0,68000.0,81600.0
Super built-up  Area,Ready To Move,Colaba,2 BHK,Viiniai,1050,2.0,1.0,22727.27273,29545.454549000002
Super built-up  Area,22-Jun,Ghatkopar,3 BHK,GoAirej,1850,3.0,2.0,20714.28571,20714.28571
Super built-up  Area,Ready To Move,Dadar,2 BHK,Diisein,1112,2.0,2.0,7066.666667,8480.0000004
Super built-up  Area,Ready To Move,Santacruz,3 BHK,,1535,3.0,2.0,15974.94127,15974.94127
Built-up  Area,Ready To Move,Powai,2 BHK,,1050,2.0,1.0,18633.54037,18633.54037
Plot  Area,Ready To Move,Kurla,4 Bedroom,,2400,3.0,2.0,26675.78659,26675.78659
Super built-up  Area,Ready To Move,Lower Parel,3 BHK,JDensar,1250,3.0,2.0,11887.60807,11887.60807
Super built-up  Area,Ready To Move,Santacruz,2 BHK,CSvelMa,1187,2.0,3.0,15909.09091,15909.09091
Built-up  Area,Ready To Move,Andheri,2 BHK,,1164,2.0,1.0,20689.65517,24827.586204000003
Super built-up  Area,18-May,Andheri,3 BHK,SNbay G,1395,2.0,1.0,43478.26087,52173.91304399999
Super built-up  Area,18-Jul,Khar,3 BHK,RRnumn ,2072,3.0,2.0,13888.88889,13888.88889
Super built-up  Area,Ready To Move,Vile Parle,3 BHK,JRrnauv,1450,3.0,3.0,10774.14206,10774.14206
Super built-up  Area,Ready To Move,Ghatkopar,3 BHK,SNity S,1550,3.0,2.0,21739.13043,21739.13043
Super built-up  Area,Ready To Move,Colaba,2 BHK,,1315,2.0,2.0,4569.892473,5940.8602149
Super built-up  Area,19-Dec,Worli,4 BHK,SNontle,3067,4.0,3.0,19512.19512,19512.19512
Super built-up  Area,Ready To Move,Kurla,2 BHK,Saeur G,1210,2.0,2.0,25000.0,25000.0
Super built-up  Area,Ready To Move,Goregaon,3 BHK,Prityel,1075,2.0,1.0,46666.66667,46666.66667
Super built-up  Area,Ready To Move,Santacruz,6 BHK,Prowshi,11338,9.0,1.0,6372.54902,6372.54902
Super built-up  Area,18-May,Vile Parle,3 BHK,,1215,3.0,1.0,5614.035088,5614.035088
Built-up  Area,Ready To Move,Lower Parel,3 BHK,Prmesad,1470,2.0,2.0,15079.36508,15079.36508
Plot  Area,18-Jul,Kurla,4 Bedroom,,30000,4.0,,42727.27273,42727.27273
Built-up  Area,Ready To Move,Lower Parel,3 BHK,Saageat,1590,2.0,2.0,7727.272727,7727.272727
Super built-up  Area,Ready To Move,Colaba,2 BHK,Shdhia ,1050,2.0,1.0,100000.0,130000.0
Super built-up  Area,Ready To Move,Andheri,2 BHK,GrrvaGr,1306,2.0,1.0,37272.72727,44727.272724
Built-up  Area,Ready To Move,Andheri,3 BHK,Maens G,2000,3.0,2.0,16000.0,19200.0
Built-up  Area,Ready To Move,Lower Parel,3 BHK,,1445,3.0,2.0,13809.52381,13809.52381
Super built-up  Area,Ready To Move,Juhu,3 BHK,,1220,3.0,2.0,42071.19741,54692.556633
Plot  Area,Ready To Move,Kurla,4 Bedroom,Puodsm ,3190,3.0,1.0,17578.125,17578.125
Super built-up  Area,18-May,Mulund,2 BHK,ViistLa,1215,2.0,1.0,30000.0,30000.0
Built-up  Area,Ready To Move,Khar,3 BHK,PrityTr,1920,2.0,1.0,7375.0,7375.0
Super built-up  Area,Ready To Move,Powai,2 BHK,,1390,2.0,2.0,4615.384615,4615.384615
Plot  Area,Ready To Move,Borivali,3 Bedroom,,800,2.0,1.0,30555.55556,30555.55556
Plot  Area,Ready To Move,Juhu,3 Bedroom,,600,3.0,2.0,16875.0,21937.5
Super built-up  Area,21-Jul,Worli,2 BHK,GoAirej,1196,2.0,0.0,31343.28358,31343.28358
Super built-up  Area,Ready To Move,Worli,3 BHK,Siaraa ,1550,2.0,2.0,60465.11628,60465.11628
Super built-up  Area,Ready To Move,Andheri,2 BHK,Prtanha,1418,2.0,2.0,29069.76744,34883.720927999995
Super built-up  Area,19-Mar,Bandra,3 BHK,,1655,3.0,2.0,10333.33333,10333.33333
Built-up  Area,Ready To Move,Lower Parel,2 BHK,SancyRe,1115,2.0,2.0,29268.29268,29268.29268
Super built-up  Area,Ready To Move,Santacruz,2 BHK,NCiteEl,1170,2.0,2.0,11200.0,11200.0
Super built-up  Area,Ready To Move,Chembur,2 BHK,Sraveks,1035,2.0,2.0,17500.0,17500.0
Super built-up  Area,Ready To Move,Vile Parle,3 BHK,,1306,2.0,2.0,23333.33333,23333.33333
Super built-up  Area,18-Dec,Lower Parel,2 BHK,VBn 2lm,750,2.0,2.0,15652.17391,15652.17391
Super built-up  Area,Ready To Move,Khar,3 BHK,Bhmesy ,1917,3.0,3.0,16363.63636,16363.63636
Super built-up  Area,Ready To Move,Goregaon,3 BHK,Frowsru,1615,3.0,3.0,22580.64516,22580.64516
Super built-up  Area,Ready To Move,Juhu,2 BHK,,1071,2.0,2.0,30534.35115,39694.656495
Super built-up  Area,Ready To Move,Chembur,2 BHK,Suryais,1325,2.0,2.0,23913.04348,23913.04348
Plot  Area,Ready To Move,Vile Parle,7 Bedroom,,3000,4.0,2.0,23703.7037,23703.7037
Super built-up  Area,Ready To Move,Colaba,3 BHK,,1400,2.0,1.0,19628.09917,25516.528921
Super built-up  Area,21-Jan,Ghatkopar,2 BHK,Sapus S,1246,2.0,1.0,5907.692308,5907.692308
Built-up  Area,Ready To Move,Santacruz,2 BHK,Coa It ,1215,2.0,0.0,25000.0,25000.0
Super built-up  Area,Ready To Move,Lower Parel,2 BHK,Akave E,1200,2.0,2.0,10588.23529,10588.23529
Plot  Area,Ready To Move,Goregaon,4 Bedroom,,450,3.0,1.0,4545.454545,4545.454545
Super built-up  Area,Ready To Move,Powai,2 BHK,Shyas S,1200,2.0,2.0,8648.648649,8648.648649
Built-up  Area,Ready To Move,Bandra,2 BHK,,945,2.0,2.0,4812.5,4812.5
Super built-up  Area,Ready To Move,Powai,4 BHK,,4460,5.0,,36956.52174,36956.52174
Super built-up  Area,Ready To Move,Malad,2 BHK,Nadhian,1175,2.0,1.0,36250.0,36250.0
Super built-up  Area,Ready To Move,Bandra,2 BHK,SrireSo,920,2.0,1.0,16666.66667,16666.66667
Super built-up  Area,Ready To Move,Malad,4 BHK,Taonte ,3024,5.0,1.0,21428.57143,21428.57143
Plot  Area,Ready To Move,Ghatkopar,2 Bedroom,,1600,2.0,2.0,24000.0,24000.0
Plot  Area,Ready To Move,Malad,4 Bedroom,,750,2.0,0.0,9335.324869,9335.324869
Plot  Area,Ready To Move,Borivali,4 Bedroom,,2400,4.0,,25694.44444,25694.44444
Built-up  Area,Ready To Move,Malad,2 BHK,Prineth,955,1.0,2.0,20874.75149,20874.75149
Super built-up  Area,Ready To Move,Lower Parel,3 BHK,SoystAm,1750,3.0,3.0,30364.37247,30364.37247
Super built-up  Area,Ready To Move,Lower Parel,3 BHK,Suitea ,1425,2.0,2.0,39333.33333,39333.33333
Super built-up  Area,Ready To Move,Khar,3 BHK,Brsic C,2150,3.0,2.0,18863.63636,18863.63636
Super built-up  Area,20-Dec,Lower Parel,2 BHK,,1165,2.0,1.0,29505.58214,29505.58214
Super built-up  Area,Ready To Move,Bandra,2 BHK,Maidei ,1050,2.0,2.0,16666.66667,16666.66667
Super built-up  Area,Ready To Move,Malad,3 BHK,ShourSp,1370,2.0,2.0,23841.0596,23841.0596
Super built-up  Area,18-Apr,Powai,3 BHK,Prarkun,1374,2.0,1.0,18713.45029,18713.45029
Super built-up  Area,Ready To Move,Lower Parel,3 BHK,SosicCl,1754,3.0,2.0,20000.0,20000.0
Super built-up  Area,Ready To Move,Colaba,3 BHK,Somumys,1847,3.0,2.0,30714.28571,39928.571423
Super built-up  Area,Ready To Move,Khar,3 BHK,SoechHa,1850,4.0,3.0,44000.0,44000.0
