area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Juhu,2 BHK,,920,2,3,26666.66667
Super built-up  Area,Ready To Move,Dadar,3 BHK,IBityin,2559,3,2,6164.383562
Super built-up  Area,22-Dec,Vile Parle,1 BHK,,525,1,1,25714.28571
Super built-up  Area,18-Feb,Andheri,3 BHK,DSnjh S,1427,2,2,45000
Super built-up  Area,18-Apr,Kurla,3 BHK,,1270,3,2,26666.66667
Built-up  Area,Ready To Move,Lower Parel,2 BHK,SVovelm,920,2,3,29910.71429
Built-up  Area,Ready To Move,Khar,4 Bedroom,,2700,3,2,5654.761905
Super built-up  Area,Ready To Move,Mulund,3 BHK,,1740,3,2,3478.26087
Built-up  Area,Ready To Move,Khar,3 BHK,,1355,2,,9696.969697
Super built-up  Area,Ready To Move,Malad,3 BHK,Soiewre,1530,2,2,42515.50044
Carpet  Area,Ready To Move,Kurla,3 BHK,,1372,2,1,17708.33333
Super built-up  Area,Ready To Move,Worli,4 BHK,Undge T,2363,5,2,8743.169399
Super built-up  Area,Ready To Move,Worli,4 BHK,PueraRi,3895,4,3,21985.8156
Super built-up  Area,20-Jun,Bandra,3 BHK,SoineC ,1950,3,2,14444.44444
Built-up  Area,Ready To Move,Mulund,2 BHK,PNncysi,885,2,3,19230.76923
Built-up  Area,Ready To Move,Santacruz,2 BHK,,600,2,2,10909.09091
Plot  Area,Ready To Move,Powai,5 Bedroom,,1270,4,1,6318.347509
Plot  Area,Ready To Move,Borivali,2 Bedroom,,1380,2,0,5325.443787
Super built-up  Area,Ready To Move,Khar,2 BHK,PuandHi,1339,2,2,65340.90909
Super built-up  Area,Ready To Move,Andheri,2 BHK,SMuilan,1130,2,1,20000
Built-up  Area,Ready To Move,Bandra,2 BHK,,1085,2,2,8771.929825
Built-up  Area,Ready To Move,Goregaon,3 BHK,IBityin,1430,3,2,33333.33333
Carpet  Area,18-Dec,Bandra,4 BHK,Rosha I,1451.5,4,1,14500
Super built-up  Area,Ready To Move,Malad,5 BHK,PeBayle,6200,5,,25925.92593
Super built-up  Area,Ready To Move,Santacruz,3 BHK,,1490,2,1,13333.33333
Built-up  Area,Ready To Move,Lower Parel,4 BHK,,1650,4,0,5030.181087
Super built-up  Area,Ready To Move,Borivali,2 BHK,,1286,2,2,28125
Built-up  Area,Ready To Move,Bandra,2 BHK,Saavear,925,2,2,11111.11111
Super built-up  Area,Ready To Move,Juhu,4 BHK,Sonyxa ,3016,4,3,16666.66667
Built-up  Area,Ready To Move,Borivali,2 BHK,,1000,2,2,25000
Super built-up  Area,Ready To Move,Borivali,2 BHK,SSthamh,1215,2,2,4819.277108
Plot  Area,Ready To Move,Dadar,4 Bedroom,,1200,3,1,57894.73684
Super built-up  Area,Ready To Move,Santacruz,2 BHK,Puarent,1336,2,2,10171.42857
Super built-up  Area,Ready To Move,Kurla,1 BHK,IBityin,673,1,1,29976.01918
Plot  Area,Ready To Move,Vile Parle,2 Bedroom,,1200,2,1,4666.666667
Plot  Area,Ready To Move,Worli,6 Bedroom,,600,7,2,24390.2439
Super built-up  Area,Ready To Move,Powai,3 BHK,,1600,3,3,15306.12245
Plot  Area,Ready To Move,Vile Parle,2 Bedroom,,1200,2,0,41753.65344
Plot  Area,Ready To Move,Chembur,6 Bedroom,,2480,4,1,17619.04762
Super built-up  Area,18-Apr,Colaba,3 BHK,,2500,3,,23750
Plot  Area,Ready To Move,Chembur,5 Bedroom,,2400,5,3,19310.34483
Super built-up  Area,Ready To Move,Santacruz,2 BHK,,1143,2,2,40625
Super built-up  Area,Ready To Move,Vile Parle,2 BHK,JRrnauv,1470,2,2,23711.34021
Plot  Area,Ready To Move,Powai,4 Bedroom,,1584,3,2,18500
Super built-up  Area,Ready To Move,Malad,3 BHK,Vaoodar,1785,3,2,28571.42857
Super built-up  Area,Ready To Move,Kurla,3 BHK,,2292,3,2,14736.84211
Super built-up  Area,Ready To Move,Chembur,3 BHK,,1460,3,3,11428.57143
Super built-up  Area,Ready To Move,Dadar,3 BHK,,1500,2,3,25757.57576
Plot  Area,Ready To Move,Khar,5 Bedroom,,1200,4,1,4333.333333
Built-up  Area,Ready To Move,Borivali,5 BHK,,3300,3,,4701.627486
Super built-up  Area,Ready To Move,Vile Parle,2 BHK,,1230,2,2,40000
Super built-up  Area,Ready To Move,Ghatkopar,1 BHK,KHatsFl,650,1,1,28571.42857
Super built-up  Area,Ready To Move,Chembur,2 BHK,,1480,2,,7954.545455
Super built-up  Area,Ready To Move,Goregaon,2 BHK,MenueNo,1220,2,1,4413.793103
Super built-up  Area,Ready To Move,Kurla,3 BHK,Puceswn,1570,3,1,23886.63968
Built-up  Area,Ready To Move,Borivali,3 BHK,,3000,3,3,10666.66667
Super built-up  Area,Ready To Move,Ghatkopar,3 BHK,Puestig,1665,3,2,25000
Plot  Area,Ready To Move,Colaba,3 Bedroom,,1350,3,1,23529.41176
Plot  Area,Ready To Move,Ghatkopar,4 Bedroom,Adeatlm,4000,5,2,9836.065574
Plot  Area,Ready To Move,Chembur,2 Bedroom,,1100,2,0,19166.66667
Super built-up  Area,Ready To Move,Goregaon,3 BHK,Prone M,1350,2,1,5172.413793
Built-up  Area,Ready To Move,Worli,3 BHK,Salisal,1719,3,2,12500
Super built-up  Area,Ready To Move,Andheri,1 BHK,PrityTr,664,1,1,33333.33333
Super built-up  Area,18-Dec,Bandra,2 BHK,Skacak ,1011,2,1,67010.30928
Built-up  Area,Ready To Move,Andheri,6 Bedroom,,2400,6,0,19117.64706
Super built-up  Area,Ready To Move,Ghatkopar,3 BHK,,1680,3,2,8666.666667
Super built-up  Area,Ready To Move,Vile Parle,2 BHK,VSlistr,704 - 730,2,0,4333.333333
Plot  Area,Ready To Move,Lower Parel,4 Bedroom,,700,4,2,20000
Super built-up  Area,Ready To Move,Malad,3 BHK,Skstark,1520,2,2,26153.84615
Carpet  Area,Ready To Move,Mulund,3 BHK,Vancya ,1350,2,2,5257.623554
Super built-up  Area,15-Nov,Borivali,3 BHK,Somumys,1760,3,,26717.55725
Super built-up  Area,Ready To Move,Santacruz,2 BHK,Shvarji,875,2,1,25000
Super built-up  Area,Ready To Move,Juhu,2 BHK,Adity T,1231,2,2,34161.49068
Super built-up  Area,Ready To Move,Bandra,2 BHK,Abeesmi,1174,2,3,32921.8107
Built-up  Area,Ready To Move,Vile Parle,3 BHK,DaniaNe,1560,3,3,29523.80952
Super built-up  Area,Ready To Move,Worli,2 BHK,,1464,2,2,6024.096386
Plot  Area,Ready To Move,Worli,3 Bedroom,,2200,3,2,29487.17949
Built-up  Area,Ready To Move,Goregaon,2 BHK,,850,2,2,46575.34247
Built-up  Area,Ready To Move,Andheri,3 BHK,Adthm R,1750,3,1,34779.05074
Super built-up  Area,Ready To Move,Vile Parle,3 BHK,NCaveun,2024,3,,3571.428571
Plot  Area,Ready To Move,Mulund,2 Bedroom,,1500,1,0,27665.99598
Plot  Area,Ready To Move,Andheri,6 Bedroom,,2100,6,,9000
Super built-up  Area,Ready To Move,Borivali,3 BHK,Soianal,2408,4,2,21481.48148
Super built-up  Area,Ready To Move,Goregaon,2 BHK,Brrds O,1080,2,1,18181.81818
Super built-up  Area,Ready To Move,Goregaon,3 BHK,,2070,3,2,30769.23077
Built-up  Area,18-Dec,Goregaon,2 BHK,,1020,2,1,8695.652174
Super built-up  Area,Ready To Move,Worli,3 BHK,Dhalsh ,1500,2,3,15300.54645
Plot  Area,Ready To Move,Santacruz,4 Bedroom,,1575,5,1,8917.197452
Plot  Area,Ready To Move,Kurla,4 Bedroom,,3250,4,1,4000
Super built-up  Area,Ready To Move,Santacruz,2 BHK,,1175,2,1,5000
Super built-up  Area,Ready To Move,Worli,2 BHK,Unm 2El,1030,2,1,4766.35514
Super built-up  Area,18-Jul,Ghatkopar,2 BHK,Mahosya,1440,2,1,24705.88235
Built-up  Area,Ready To Move,Mulund,2 BHK,SMaxyay,1500,2,1,24021.73913
Plot  Area,Ready To Move,Borivali,1 Bedroom,,1380,1,1,31372.54902
Built-up  Area,Ready To Move,Malad,2 BHK,Haows M,1200,2,3,5294.117647
Built-up  Area,Ready To Move,Juhu,1 BHK,,705,1,2,9626.865672
Super built-up  Area,Ready To Move,Worli,3 BHK,Prncyrn,2240,5,2,18727.59857
Super built-up  Area,Ready To Move,Malad,3 BHK,Sonosty,1584.01,3,1,28195.48872
Super built-up  Area,Ready To Move,Santacruz,3 BHK,Apitea ,1340,3,3,20454.54545
Super built-up  Area,Ready To Move,Dadar,3 BHK,Mas 2 H,1800,3,2,22131.14754
Super built-up  Area,Ready To Move,Colaba,2 BHK,,1200,2,3,18947.36842
Super built-up  Area,18-Nov,Juhu,1 BHK,AsastDe,685,1,1,18823.52941
Super built-up  Area,Ready To Move,Colaba,2 BHK,Sothin ,925,2,3,26876.26775
Super built-up  Area,Ready To Move,Lower Parel,2 BHK,ARntyne,1230,2,2,30630.63063
Plot  Area,Ready To Move,Andheri,5 Bedroom,,1200,5,1,12736.84211
Super built-up  Area,Ready To Move,Kurla,2 BHK,Aaubyya,1125,2,1,22500
Super built-up  Area,Ready To Move,Juhu,2 BHK,,1100,2,1,6037.735849
Plot  Area,18-Aug,Kurla,3 Bedroom,Prllasw,2400,3,2,12878.78788
Super built-up  Area,18-Jul,Santacruz,3 BHK,Sryalan,1400,2,2,9538.461538
Plot  Area,Ready To Move,Goregaon,7 Bedroom,,1200,7,2,7916.666667
Super built-up  Area,Ready To Move,Juhu,3 BHK,Ceezey ,1858,3,1,31666.66667
Plot  Area,Ready To Move,Powai,1 Bedroom,,1260,1,1,12265.51227
Built-up  Area,Ready To Move,Kurla,4 BHK,SoechHa,3530,4,2,21520.80344
Super built-up  Area,Ready To Move,Lower Parel,2 BHK,,1185,2,2,5277.777778
Plot  Area,Ready To Move,Mulund,2 Bedroom,,1200,2,1,6875
Super built-up  Area,Ready To Move,Ghatkopar,2 BHK,,1255,2,1,9000
Super built-up  Area,Ready To Move,Bandra,4 BHK,,3436,6,3,20481.92771
Built-up  Area,Ready To Move,Ghatkopar,3 BHK,Brlms P,1335,3,2,54838.70968
Super built-up  Area,Ready To Move,Borivali,3 BHK,,1999,3,2,29230.76923
Plot  Area,Ready To Move,Chembur,2 Bedroom,,1200,2,1,10000
Super built-up  Area,Ready To Move,Worli,3 BHK,Dieldli,1397,3,2,24534.88372
Plot  Area,Ready To Move,Bandra,10 Bedroom,Mae 2ra,1200,10,,24500
Super built-up  Area,Ready To Move,Powai,4 BHK,,3950,4,,74285.71429
Plot  Area,Ready To Move,Santacruz,2 Bedroom,KHatsFl,1200,2,1,28901.7341
Plot  Area,Ready To Move,Powai,3 Bedroom,,1616,3,0,33333.33333
Plot  Area,Ready To Move,Goregaon,8 Bedroom,,1200,7,2,27777.77778
Built-up  Area,Ready To Move,Worli,4 Bedroom,,1270,2,1,8333.333333
Super built-up  Area,Ready To Move,Goregaon,2 BHK,GrrvaGr,1140,2,2,24509.80392
Super built-up  Area,21-Jan,Lower Parel,1 BHK,PrarePa,525,1,1,9090.909091
Plot  Area,Ready To Move,Borivali,3 Bedroom,,1200,2,1,4567.901235
Built-up  Area,Ready To Move,Andheri,1 Bedroom,,700,1,1,20652.17391
Super built-up  Area,18-Jul,Mulund,2 BHK,Soresea,1205.47,2,1,13415.38462
Plot  Area,Ready To Move,Lower Parel,3 Bedroom,,1200,3,2,20000
Super built-up  Area,Ready To Move,Andheri,3 BHK,Naireru,1700,3,2,27500
Plot  Area,Ready To Move,Powai,5 Bedroom,,750,4,0,56737.58865
Super built-up  Area,21-May,Andheri,2 BHK,GolusLi,1090,2,1,21000
Super built-up  Area,Ready To Move,Santacruz,4 BHK,IBityin,3600,5,,11904.7619
Built-up  Area,Ready To Move,Kurla,1 BHK,,2400,1,0,24266.36569
Super built-up  Area,19-Mar,Santacruz,1 BHK,Bhe 2ko,923,1,1,14347.82609
Super built-up  Area,18-May,Colaba,4 BHK,MacleK ,3595,6,2,26190.47619
Super built-up  Area,Ready To Move,Juhu,2 BHK,GaentAp,1050,2,2,16105.41728
Super built-up  Area,Ready To Move,Dadar,2 BHK,UKe 2nz,1495,2,2,24967.14849
Super built-up  Area,19-Mar,Chembur,3 BHK,Puachal,1482 - 1846,,,44117.64706
Built-up  Area,Ready To Move,Dadar,3 BHK,,1485,3,2,6260.869565
Super built-up  Area,19-Dec,Powai,3 BHK,,1033,2,2,15652.17391
Super built-up  Area,Ready To Move,Borivali,3 BHK,DSgmax ,1400,2,1,32167.83217
Built-up  Area,Ready To Move,Goregaon,1 Bedroom,,500,1,0,19583.33333
Super built-up  Area,Ready To Move,Borivali,2 BHK,Ascid P,944,2,1,24528.30189
Built-up  Area,Ready To Move,Powai,5 Bedroom,,3250,5,0,24615.38462
Super built-up  Area,19-Mar,Chembur,2 BHK,Prtates,1216,2,1,13265.30612
Super built-up  Area,Ready To Move,Chembur,2 BHK,,1100,2,1,28800
Super built-up  Area,Ready To Move,Khar,3 BHK,Moity S,1743,3,2,6666.666667
Super built-up  Area,Ready To Move,Chembur,2 BHK,Pyikad ,1274,2,2,15263.15789
Super built-up  Area,Ready To Move,Vile Parle,3 BHK,,2500,3,2,20000
Super built-up  Area,Ready To Move,Borivali,3 BHK,SaodySa,1512,2,2,20425.53191
Super built-up  Area,Ready To Move,Santacruz,4 BHK,,3100,5,1,25641.02564
Super built-up  Area,Ready To Move,Worli,3 BHK,,1650,3,3,12068.96552
Built-up  Area,Ready To Move,Juhu,3 BHK,SryleHo,1875,3,1,12903.22581
Built-up  Area,Ready To Move,Chembur,3 BHK,,1350,3,2,8928.571429
Super built-up  Area,Ready To Move,Lower Parel,2 BHK,,1219,2,2,36458.33333
Plot  Area,Ready To Move,Goregaon,4 Bedroom,,1200,4,1,18359.85312
Plot  Area,Ready To Move,Lower Parel,3 Bedroom,,2400,3,3,10404.62428
Super built-up  Area,Ready To Move,Kurla,2 BHK,,1141,2,1,8928.571429
Super built-up  Area,Ready To Move,Vile Parle,2 BHK,ViensRK,1151,2,1,25000
Plot  Area,Ready To Move,Kurla,3 Bedroom,Prana S,832,3,1,1500
Super built-up  Area,Ready To Move,Bandra,2 BHK,Shthi S,915,2,1,35962.44131
Plot  Area,Ready To Move,Bandra,3 Bedroom,,3259,3,0,18333.33333
Super built-up  Area,22-Dec,Santacruz,2 BHK,PrarePa,1115,2,1,18357.48792
Super built-up  Area,Ready To Move,Ghatkopar,3 BHK,Prtanha,2072,4,2,11675.1269
Super built-up  Area,Ready To Move,Khar,2 BHK,MCngeha,1200,2,2,7333.333333
Super built-up  Area,Ready To Move,Santacruz,2 BHK,Phhidx ,1300,2,2,21929.82456
Super built-up  Area,Ready To Move,Juhu,2 BHK,Amivace,1457,2,2,16867.46988
Super built-up  Area,Ready To Move,Mulund,2 BHK,Marnaer,1262,2,2,7727.272727
Plot  Area,Ready To Move,Powai,4 Bedroom,,1196,3,1,19913.41991
Super built-up  Area,18-Aug,Colaba,2 BHK,,900,2,2,24264.70588
Built-up  Area,Ready To Move,Santacruz,1 BHK,Jae 1hu,420,1,1,6666.666667
Super built-up  Area,Ready To Move,Khar,2 BHK,,1160,2,1,43750
Super built-up  Area,Ready To Move,Colaba,2 BHK,,1115,2,2,20000
Built-up  Area,Ready To Move,Worli,3 BHK,,1315,2,1,23478.26087
Built-up  Area,Ready To Move,Powai,2 BHK,,1500,2,2,20000
Super built-up  Area,Ready To Move,Vile Parle,2 BHK,SruntFa,1127,2,1,6172.839506
Super built-up  Area,18-Feb,Andheri,3 BHK,Dieldli,1397,3,2,19000
Built-up  Area,20-Dec,Bandra,2 BHK,,1173,2,1,3000
Super built-up  Area,Ready To Move,Khar,2 BHK,,1090,2,2,17619.04762
Super built-up  Area,Ready To Move,Malad,3 BHK,Maana E,2720,5,,20979.02098
Super built-up  Area,18-May,Bandra,2 BHK,BrdgeNo,1230,2,1,13333.33333
Super built-up  Area,Ready To Move,Colaba,4 BHK,,3200,3,3,19411.76471
Super built-up  Area,19-Dec,Andheri,2 BHK,Daivon ,858,2,1,8467.741935
Super built-up  Area,21-Mar,Andheri,3 BHK,Sodgere,1868,3,1,19642.85714
Super built-up  Area,Ready To Move,Bandra,3 BHK,Baveles,1689.28,3,2,37500
Built-up  Area,Ready To Move,Chembur,4 BHK,,600,3,2,27932.96089
Super built-up  Area,Ready To Move,Bandra,3 BHK,,1425,3,3,17006.80272
Plot  Area,Ready To Move,Goregaon,6 Bedroom,,1200,6,2,14285.71429
Plot  Area,Ready To Move,Vile Parle,2 Bedroom,,1350,2,1,30337.07865
Built-up  Area,Ready To Move,Borivali,6 Bedroom,,4200,6,0,29473.68421
Super built-up  Area,Ready To Move,Dadar,3 BHK,Ihnueut,1310,2,1,20000
Super built-up  Area,18-Jun,Worli,4 BHK,SNnia E,2805 - 3565,,,32142.85714
Super built-up  Area,Ready To Move,Borivali,2 BHK,,970,2,1,8888.888889
Super built-up  Area,18-May,Andheri,3 BHK,Dieldli,1397,3,3,11764.70588
Super built-up  Area,18-Jul,Santacruz,2 BHK,Vehes L,1157,2,1,4639.175258
Super built-up  Area,Ready To Move,Kurla,2 BHK,,1125,2,1,19000
Super built-up  Area,Ready To Move,Ghatkopar,2 BHK,DSgam S,1157,2,1,16842.10526
Super built-up  Area,Ready To Move,Mulund,2 BHK,BModsen,1241,2,1,8461.538462
Super built-up  Area,19-Dec,Bandra,1 BHK,She 2rk,660,1,1,18888.88889
Built-up  Area,Ready To Move,Chembur,4 BHK,PueraRi,4000,4,3,4885.496183
Super built-up  Area,Ready To Move,Andheri,4 BHK,PuoodSk,2340,4,1,4545.454545
Built-up  Area,Ready To Move,Ghatkopar,1 BHK,Raiyai ,596,1,1,18470.58824
Super built-up  Area,Ready To Move,Worli,16 BHK,,10000,16,,25252.52525
Plot  Area,Ready To Move,Chembur,4 Bedroom,UpowsMe,1200,4,3,45454.54545
Super built-up  Area,Ready To Move,Kurla,3 BHK,RMcesa ,1910,3,1,60000
Super built-up  Area,Ready To Move,Chembur,2 BHK,CidgeKn,1139,2,2,21264.36782
Super built-up  Area,Ready To Move,Chembur,4 BHK,Prtanha,3122,5,2,30364.37247
Super built-up  Area,19-Aug,Ghatkopar,2 BHK,,1033,2,2,22285.71429
Super built-up  Area,Ready To Move,Chembur,2 BHK,IBityin,1168,2,2,56277.05628
Super built-up  Area,Ready To Move,Santacruz,2 BHK,,877,2,3,6842.105263
Built-up  Area,18-Jul,Khar,2 BHK,Shitt S,1340,2,2,26111.11111
Built-up  Area,Ready To Move,Colaba,3 BHK,ShentAp,1405,2,2,5833.333333
Super built-up  Area,Ready To Move,Dadar,3 BHK,,1800,3,3,37000
Built-up  Area,Ready To Move,Mulund,3 BHK,Sorisa ,1750,3,3,31578.94737
Super built-up  Area,Ready To Move,Malad,3 BHK,Puodse ,1360,2,1,24305.55556
Plot  Area,Ready To Move,Ghatkopar,3 Bedroom,,675,2,0,21912.3506
Super built-up  Area,19-Jun,Malad,2 BHK,Sancy R,985,2,1,14615.38462
Super built-up  Area,16-Jul,Vile Parle,2 BHK,,1300,2,1,8092.485549
Super built-up  Area,Ready To Move,Malad,3 BHK,Brngsal,1850,3,2,15000
Super built-up  Area,Ready To Move,Malad,3 BHK,Srowsee,1490,2,3,32558.13953
Super built-up  Area,Ready To Move,Khar,2 BHK,VBavaai,620,1,1,7777.777778
Super built-up  Area,19-Aug,Malad,2 BHK,,1130,2,1,20500
Super built-up  Area,Ready To Move,Malad,2 BHK,BaiseBa,1080,2,2,5813.953488
Built-up  Area,Ready To Move,Mulund,4 BHK,,3126,4,,23529.41176
Super built-up  Area,Ready To Move,Bandra,3 BHK,Dhalsh ,1410,2,3,19166.66667
Super built-up  Area,Ready To Move,Chembur,3 BHK,,1375,3,2,4191.616766
Super built-up  Area,Ready To Move,Malad,3 BHK,Maity W,1290,2,1,27108.43373
Super built-up  Area,19-Mar,Bandra,3 BHK,Skume R,1318,2,1,7248.322148
Super built-up  Area,Ready To Move,Khar,2 BHK,Prarkun,1128,2,1,10000
Plot  Area,Ready To Move,Ghatkopar,4 Bedroom,Sreat R,4428,4,2,19108.28025
Super built-up  Area,21-Mar,Worli,2 BHK,GolusLi,1051,2,2,9094.736842
Plot  Area,Ready To Move,Lower Parel,3 Bedroom,,3500,5,0,9696.969697
Plot  Area,Ready To Move,Chembur,4 Bedroom,MIalerd,2400,4,1,7802.197802
Super built-up  Area,Ready To Move,Santacruz,2 BHK,PuziaVe,1327,2,3,10833.33333
Super built-up  Area,Ready To Move,Vile Parle,4 BHK,Prtanha,2912,6,2,10105.26316
Super built-up  Area,Ready To Move,Powai,2 BHK,Jaangm ,1301,2,2,41666.66667
Super built-up  Area,Ready To Move,Vile Parle,1 BHK,,650,1,0,18823.52941
Plot  Area,18-Jul,Powai,3 Bedroom,,1200,3,1,6111.111111
Super built-up  Area,Ready To Move,Lower Parel,3 BHK,,1500,2,2,6000
Plot  Area,Ready To Move,Borivali,4 Bedroom,,2700,6,,20979.02098
Plot  Area,Ready To Move,Santacruz,4 Bedroom,,1350,4,2,24615.38462
Built-up  Area,18-Aug,Malad,2 BHK,Sryalan,1000,2,1,8024.691358
Super built-up  Area,19-Nov,Santacruz,2 BHK,AsastDe,984,2,1,46666.66667
Super built-up  Area,22-May,Khar,3 BHK,SoineC ,1819.18,3,1,32461.53846
Built-up  Area,Ready To Move,Colaba,1 Bedroom,,900,1,0,33333.33333
Super built-up  Area,18-Apr,Colaba,3 BHK,Magiaya,1355,3,1,4827.586207
Super built-up  Area,Ready To Move,Dadar,3 BHK,Sowerew,2145,4,1,5959.59596
Super built-up  Area,Ready To Move,Bandra,3 BHK,Sariaat,2475,4,3,20833.33333
Super built-up  Area,18-Aug,Mulund,2 BHK,,1118,2,0,25217.3913
Super built-up  Area,Ready To Move,Chembur,1 BHK,,910,1,1,31428.57143
Super built-up  Area,18-May,Khar,3 BHK,,1250,3,2,17258.38264
Super built-up  Area,18-Mar,Andheri,2 BHK,SoageHe,1304,2,3,18153.36463
Super built-up  Area,Ready To Move,Santacruz,3 BHK,Dhalsh ,1615,3,2,18000
Super built-up  Area,Ready To Move,Juhu,2 BHK,Contsci,1400,2,2,17500
Super built-up  Area,Ready To Move,Santacruz,2 BHK,Villeka,1070,2,2,32846.71533
Super built-up  Area,17-Nov,Vile Parle,3 BHK,Emceske,3500,3,3,6500
Super built-up  Area,22-Jun,Chembur,2 BHK,GoAirej,1132,2,1,23076.92308
Super built-up  Area,Ready To Move,Lower Parel,3 BHK,,2000,3,2,14000
Plot  Area,Ready To Move,Borivali,7 Bedroom,,2400,5,1,20625
Super built-up  Area,Ready To Move,Malad,1 BHK,DShtsow,794,1,2,22857.14286
Super built-up  Area,Ready To Move,Colaba,2 BHK,Lancyey,1090,2,2,6195.652174
Super built-up  Area,Ready To Move,Kurla,3 BHK,Pridei ,1500,3,2,21666.66667
Super built-up  Area,Ready To Move,Colaba,3 BHK,Prhtsok,2059,3,2,24000
Super built-up  Area,21-Jan,Mulund,1 BHK,PrarePa,525,1,1,22857.14286
Super built-up  Area,18-May,Worli,2 BHK,Rosha I,1447,2,1,33333.33333
Super built-up  Area,20-Dec,Borivali,2 BHK,VaarkMe,1269,2,1,22307.69231
Plot  Area,18-Apr,Vile Parle,4 Bedroom,,4800,4,0,7407.407407
Super built-up  Area,Ready To Move,Mulund,2 BHK,Shiew T,1070,2,2,8920.863309
Super built-up  Area,Ready To Move,Borivali,2 BHK,,1150,2,0,9375
Super built-up  Area,Ready To Move,Kurla,2 BHK,,1208,2,2,22500
Super built-up  Area,Ready To Move,Lower Parel,2 BHK,Cimeshw,1185,2,1,20547.94521
Plot  Area,Ready To Move,Chembur,3 Bedroom,,1200,3,1,30833.33333
Super built-up  Area,Ready To Move,Worli,2 BHK,,888,2,1,19444.44444
Super built-up  Area,18-Aug,Santacruz,2 BHK,SunceEs,1015,2,2,33333.33333
Built-up  Area,Ready To Move,Chembur,1 BHK,,532,1,1,7843.137255
Super built-up  Area,Ready To Move,Lower Parel,3 BHK,,1060,3,1,15306.12245
Built-up  Area,Ready To Move,Andheri,1 BHK,,700,1,1,8900
Super built-up  Area,Ready To Move,Chembur,2 BHK,Radhian,902,2,2,24000
Plot  Area,Ready To Move,Bandra,6 Bedroom,,600,3,3,13888.88889
Super built-up  Area,Ready To Move,Mulund,2 BHK,,1175,2,1,20000
Super built-up  Area,19-Dec,Bandra,2 BHK,She 2rk,1365,2,1,13793.10345
Super built-up  Area,Ready To Move,Chembur,2 BHK,Hincy R,984,2,1,27142.85714
Plot  Area,Ready To Move,Lower Parel,4 Bedroom,,2700,2,2,24827.58621
Super built-up  Area,Ready To Move,Powai,3 BHK,,1475,3,2,31545.74132
Super built-up  Area,Ready To Move,Mulund,2 BHK,NDionas,1300,2,2,17857.14286
Plot  Area,Ready To Move,Dadar,5 Bedroom,,1200,6,1,24319.06615
Built-up  Area,Ready To Move,Mulund,3 BHK,,1453,2,2,27647.05882
Super built-up  Area,Ready To Move,Powai,2 BHK,SNiew L,1550,2,3,3950.3386
Built-up  Area,Ready To Move,Ghatkopar,3 BHK,DLhtsnd,1666,3,,9326.42487
Plot  Area,Ready To Move,Malad,4 Bedroom,,1410,4,2,38235.29412
Plot  Area,18-Mar,Goregaon,4 Bedroom,Nileyap,4025,5,3,9583.333333
Super built-up  Area,Ready To Move,Dadar,3 BHK,Vestas ,1845,3,3,30952.38095
Super built-up  Area,Ready To Move,Malad,3 BHK,Puownm ,1676,3,3,47058.82353
Super built-up  Area,20-Dec,Santacruz,2 BHK,PrdgeLa,1137,2,1,24087.59124
Super built-up  Area,Ready To Move,Lower Parel,3 BHK,GMown E,1360,2,1,10179.64072
Super built-up  Area,Ready To Move,Juhu,3 BHK,FoGemna,1374,2,2,31473.68421
Built-up  Area,Ready To Move,Powai,3 Bedroom,,1700,3,2,21634.61538
Plot  Area,Ready To Move,Malad,5 Bedroom,,3227,5,0,25600
Super built-up  Area,Ready To Move,Colaba,4 BHK,Cestama,2145,4,,61702.12766
Plot  Area,Ready To Move,Borivali,4 Bedroom,,2400,6,3,38690.47619
Super built-up  Area,18-May,Dadar,3 BHK,,2170,3,2,25000
Built-up  Area,Ready To Move,Malad,2 BHK,,1080,2,1,4941.176471
Built-up  Area,Ready To Move,Juhu,3 BHK,SNbay G,1790,3,3,18000
Super built-up  Area,Ready To Move,Kurla,1 BHK,,550,1,1,16363.63636
Super built-up  Area,Ready To Move,Juhu,3 BHK,,1270,2,2,18750
Built-up  Area,Ready To Move,Khar,2 BHK,Ahhtser,1033,2,2,26829.26829
Built-up  Area,Ready To Move,Juhu,2 Bedroom,,1000,2,1,10000
Super built-up  Area,19-Dec,Juhu,4 BHK,She 2rk,2940,6,2,32142.85714
Super built-up  Area,Ready To Move,Santacruz,2 BHK,BMmesHo,1240,2,2,39184.95298
Plot  Area,Ready To Move,Khar,5 Bedroom,,1650,5,1,25683.06011
Super built-up  Area,Ready To Move,Chembur,2 BHK,Prrtht ,883,2,1,5000
Built-up  Area,15-Jun,Goregaon,3 BHK,SRzonhu,1500,2,0,35294.11765
Super built-up  Area,Ready To Move,Chembur,3 BHK,Asintas,1730,3,3,33333.33333
Super built-up  Area,Ready To Move,Khar,3 BHK,,1915,3,3,37410.07194
Super built-up  Area,Ready To Move,Dadar,3 BHK,BainePr,1545,3,2,51219.5122
Super built-up  Area,19-Mar,Vile Parle,3 BHK,,1865,4,2,5000
Super built-up  Area,Ready To Move,Malad,2 BHK,,1150,2,2,38000
Super built-up  Area,18-Aug,Malad,2 BHK,,1200,2,2,16304.34783
Built-up  Area,Ready To Move,Dadar,2 BHK,,963,2,2,7981.220657
Plot  Area,Ready To Move,Lower Parel,3 Bedroom,AreraRe,1200,3,1,40000
